"Order","Family","Genus","Species","Mean_Temp","Mean_Temp_SD","Latitude","Longitude","Captive","Humidity","Start_Date","End_Date","Proportion_Male","Proportion_Female"
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.142857143,0.857142857
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.714285714,0.285714286
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.666666667,0.333333333
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",24,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,0.357142857,0.642857143
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",34,NA,30.953167,-81.4177315,0,NA,1978-07-01,1978-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",24,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,0.555555556,0.444444444
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",34,NA,30.953167,-81.4177315,0,NA,1979-07-01,1979-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",28,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",25,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",26,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",27.5,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",29,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",30.5,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",32,NA,-23.44241,151.915007,0,NA,1980-12-01,1980-12-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-23.44241,151.915007,0,NA,NA,NA,0.623529412,0.376470588
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,-24.793935,152.4418505,0,NA,NA,NA,0.327118644,0.672881356
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.1966935,-79.192523,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.1966935,-79.192523,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1980-05-01,1980-05-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1980-06-01,1980-06-01,0.1,0.9
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1980-06-01,1980-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1980-07-01,1980-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-05-01,1982-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0.6,0.4
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-06-01,1982-06-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0,1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0.6,0.4
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-07-01,1982-07-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,33.15484,-79.2162625,0,NA,1982-08-01,1982-08-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,32.6037915,-80.0678605,0,NA,1982-05-01,1982-05-01,0.5,0.5
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,32.6037915,-80.0678605,0,NA,1982-06-01,1982-06-01,0.2,0.8
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,32.6037915,-80.0678605,0,NA,1982-07-01,1982-07-01,0.25,0.75
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,32.6037915,-80.0678605,0,NA,1982-07-01,1982-07-01,0.8,0.2
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,32.3219275,-80.4783885,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,31.772677,-81.0890725,0,NA,1979-05-01,1979-05-01,0.9,0.1
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,31.772677,-81.0890725,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1979-05-01,1979-05-01,1,0
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-05-01,1980-05-01,0.3,0.7
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.3,0.7
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-06-01,1980-06-01,0.333333333,0.666666667
"Testudines","Cheloniidae","Caretta","Caretta_caretta",NA,NA,30.953167,-81.4177315,0,NA,1980-07-01,1980-07-01,0.3,0.7
